chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NW_008246512.1	578192	605457	0.252561	0.176625	0.141907	0.115727
NW_008246512.1	591333	616069	0.074076	0.062549	0.049693	0.058338
NW_008246512.1	605553	629456	0.051162	0.041335	0.031009	0.028457
NW_008246512.1	616361	640499	0.272247	0.179656	0.135365	0.077827
NW_008246512.1	629465	656631	0.362591	0.167437	0.131620	0.072113
NW_008246512.1	640527	681957	-0.004194	-0.001550	-0.001184	-0.003359
NW_008246512.1	656737	696228	0.009880	0.003845	0.002965	0.001998
NW_008246512.1	682452	718172	0.179806	0.066356	0.054936	0.061435
NW_008246512.1	696269	732817	0.151920	0.053099	0.041827	0.054231
NW_008246512.1	718650	797951	0.159532	0.052779	0.042753	0.043656
NW_008246512.1	732957	808933	0.210593	0.078716	0.068539	0.061098
NW_008246512.1	798420	817098	0.261113	0.151467	0.130435	0.123200
NW_008246512.1	809051	834378	0.277839	0.171126	0.145748	0.160975
NW_008246512.1	817179	854415	0.296187	0.087577	0.076590	0.116983
NW_008246512.1	834384	886161	0.458259	0.110474	0.098443	0.128953
NW_008246512.1	854884	901177	0.496886	0.189816	0.151709	0.143546
NW_008246512.1	886165	917571	0.516399	0.222895	0.172488	0.164213
NW_008246512.1	901217	927693	0.530813	0.219376	0.179800	0.177412
NW_008246512.1	917573	947815	0.312449	0.129619	0.108413	0.131023
NW_008246512.1	927841	957552	0.195952	0.082998	0.073607	0.104324
NW_008246512.1	947820	966954	0.079822	0.025895	0.023953	0.047308
NW_008246512.1	957702	990693	-0.066390	-0.012087	-0.011001	-0.008292
NW_008246512.1	966964	1007569	0.356857	0.077187	0.066619	0.113750
NW_008246512.1	991134	1017049	0.454818	0.138765	0.115073	0.202397
NW_008246512.1	1007589	1028880	0.400395	0.227185	0.165082	0.201652
NW_008246512.1	1017071	1034845	0.591929	0.475306	0.317002	0.403430
NW_008246512.1	1028973	1059220	0.263381	0.207507	0.138955	0.213792
NW_008246512.1	1034857	1071402	0.051355	0.033913	0.023605	0.055154
NW_008246512.1	1059232	1078676	0.462940	0.229855	0.175626	0.197189
NW_008246512.1	1071514	1088697	0.534321	0.255095	0.191617	0.161078
NW_008246512.1	1078729	1097947	0.398273	0.236410	0.170681	0.225773
NW_008246512.1	1088721	1121161	0.215739	0.054371	0.046914	0.143923
NW_008246512.1	1098456	1127096	0.160879	0.025552	0.022705	0.056445
NW_008246512.1	1121460	1138169	0.100938	0.018859	0.016135	0.044594
NW_008246512.1	1127117	1148405	0.240061	0.063468	0.052907	0.108711
NW_008246512.1	1138288	1158999	0.210840	0.098086	0.075308	0.132786
NW_008246512.1	1148579	1179587	0.005061	0.001389	0.001084	0.005934
NW_008246512.1	1159066	1201640	0.335335	0.094943	0.074574	0.112159
NW_008246512.1	1179614	1206251	0.048754	0.027248	0.015810	0.040880
NW_008246512.1	1201706	1215766	-0.135748	-0.069189	-0.040110	-0.067529
NW_008246512.1	1206278	1227021	0.210305	0.063312	0.049859	0.091652
NW_008246512.1	1216137	1244055	0.418342	0.169457	0.135608	0.195974
NW_008246512.1	1227029	1254113	0.173517	0.100757	0.075322	0.095931
NW_008246512.1	1244077	1261481	0.008849	0.004147	0.003223	0.003020
NW_008246512.1	1254216	1277970	0.237182	0.094294	0.073046	0.070862
NW_008246512.1	1261519	1290319	0.201401	0.075792	0.054829	0.068851
NW_008246512.1	1278109	1298439	0.161868	0.049440	0.037800	0.038590
NW_008246512.1	1290499	1322115	0.179639	0.026477	0.022906	0.020969
NW_008246512.1	1298577	1339128	0.003723	0.000382	0.000336	0.001514
NW_008246512.1	1322123	1359887	0.050179	0.006141	0.005329	0.005349
NW_008246512.1	1339157	1369657	0.335815	0.072337	0.062057	0.070281
NW_008246512.1	1360051	1376610	0.213417	0.054848	0.046700	0.048298
NW_008246512.1	1369693	1386478	-0.048668	-0.010415	-0.008929	-0.007424
NW_008246512.1	1376654	1404672	0.190658	0.052416	0.045408	0.039566
NW_008246512.1	1386632	1412731	0.273733	0.106983	0.085134	0.092061
NW_008246512.1	1404685	1425319	0.243843	0.144500	0.104704	0.152347
NW_008246512.1	1412739	1441670	0.370875	0.144718	0.115732	0.182562
NW_008246512.1	1425403	1446607	0.382074	0.110118	0.089285	0.142833
NW_008246512.1	1441723	1453215	0.051221	0.014083	0.011015	0.086436
NW_008246512.1	1446616	1464158	0.538945	0.163561	0.134559	0.273358
NW_008246512.1	1453431	1478433	0.644653	0.189281	0.165693	0.269436
NW_008246512.1	1464163	1493668	0.600258	0.103251	0.089620	0.198229
NW_008246512.1	1478435	1515058	0.467589	0.056261	0.045915	0.120690
NW_008246512.1	1493877	1540116	0.498671	0.095795	0.077921	0.163747
NW_008246512.1	1515193	1551145	0.309390	0.121633	0.096223	0.178889
NW_008246512.1	1540119	1566909	0.006327	0.002506	0.001880	0.012383
NW_008246512.1	1551150	1574740	-0.002682	-0.000896	-0.000691	0.019788
NW_008246512.1	1566914	1584519	-0.043458	-0.023398	-0.018145	-0.015176
NW_008246512.1	1574864	1592572	0.114416	0.040795	0.034565	0.033607
NW_008246512.1	1584719	1605012	0.634930	0.160207	0.131696	0.143646
NW_008246512.1	1592613	1620648	0.472028	0.116010	0.095817	0.168851
NW_008246512.1	1605447	1633604	0.276490	0.081298	0.064988	0.169167
NW_008246512.1	1620664	1645472	0.275556	0.147823	0.100377	0.170304
NW_008246512.1	1633677	1648576	0.396150	0.225675	0.160926	0.300271
NW_008246512.1	1645488	1655066	0.438067	0.206903	0.157753	0.324922
NW_008246512.1	1648577	1675141	0.564085	0.281869	0.188445	0.348204
NW_008246512.1	1655091	1682038	0.714117	0.382433	0.263654	0.455289
NW_008246512.1	1675174	1687539	0.775267	0.379359	0.331429	0.423606
NW_008246512.1	1682077	1693344	0.811087	0.456388	0.405818	0.483401
NW_008246512.1	1687970	1699935	0.828712	0.447042	0.402121	0.431371
NW_008246512.1	1693345	1706820	0.832547	0.506847	0.458488	0.498466
NW_008246512.1	1699951	1710125	0.549130	0.429006	0.347758	0.421032
NW_008246512.1	1706824	1712604	0.076162	0.084256	0.053784	0.060685
NW_008246512.1	1710139	1718845	0.164323	0.156708	0.101370	0.129466
NW_008246512.1	1712675	1730615	0.234272	0.056562	0.045719	0.086733
NW_008246512.1	1718864	1745705	0.481522	0.098985	0.082367	0.156022
NW_008246512.1	1730645	1749844	0.437190	0.187754	0.149077	0.183722
NW_008246512.1	1745711	1757045	0.265508	0.163182	0.122573	0.100010
NW_008246512.1	1749845	1768418	0.123437	0.054933	0.041482	0.040894
NW_008246512.1	1757063	1776288	-0.185751	-0.072986	-0.054440	-0.078326
NW_008246512.1	1768904	1782803	-0.230937	-0.106246	-0.076526	-0.143771
NW_008246512.1	1776297	1794342	0.150481	0.089907	0.061188	0.116854
NW_008246512.1	1782809	1803432	0.302206	0.168212	0.120648	0.198875
NW_008246512.1	1794467	1816604	-0.041449	-0.013607	-0.011345	-0.012347
NW_008246512.1	1803454	1830723	-0.062750	-0.017655	-0.014281	-0.012061
NW_008246512.1	1816641	1838748	0.446642	0.138607	0.114788	0.116774
NW_008246512.1	1830766	1847982	0.593730	0.178441	0.151554	0.157236
NW_008246512.1	1838763	1857559	0.437736	0.127498	0.099578	0.108611
NW_008246512.1	1847987	1876996	0.238880	0.076335	0.054422	0.057071
NW_008246512.1	1857618	1888114	0.097040	0.038653	0.026963	0.031066
NW_008246512.1	1877004	1901606	0.215969	0.073502	0.058883	0.080721
NW_008246512.1	1888239	1914521	0.353420	0.074296	0.065823	0.104369
NW_008246512.1	1901787	1929429	0.331020	0.110596	0.100462	0.199040
NW_008246512.1	1914567	1946038	0.236531	0.098050	0.081695	0.127997
NW_008246512.1	1929485	1956710	-0.036928	-0.006320	-0.005123	0.003985
NW_008246512.1	1946080	1969126	0.113133	0.019042	0.015823	0.017220
NW_008246512.1	1956791	1978359	0.145403	0.048316	0.038038	0.029721
NW_008246512.1	1969156	1987575	0.254587	0.079485	0.067263	0.067041
NW_008246512.1	1978763	2001571	0.479284	0.229215	0.191994	0.214445
NW_008246512.1	1988753	2013020	0.579372	0.337318	0.279748	0.435780
NW_008246512.1	2001586	2033538	0.583610	0.336559	0.288205	0.385922
NW_008246512.1	2013407	2042978	0.698231	0.400471	0.362649	0.401927
NW_008246512.1	2033680	2061838	0.689442	0.323507	0.290573	0.491210
NW_008246512.1	2043104	2073558	0.290367	0.118478	0.103480	0.160482
NW_008246512.1	2062092	2087056	0.117753	0.044553	0.037164	0.046958
NW_008246512.1	2073559	2097513	0.326058	0.133143	0.109245	0.156186
NW_008246512.1	2087072	2112185	0.241695	0.109243	0.088148	0.147979
NW_008246512.1	2098688	2119230	0.210561	0.105614	0.085852	0.127660
NW_008246512.1	2112233	2136840	0.279367	0.088423	0.074503	0.117818
NW_008246512.1	2119235	2154302	0.249968	0.064999	0.053525	0.081652
NW_008246512.1	2137137	2166746	0.243173	0.108282	0.079114	0.115452
NW_008246512.1	2154358	2193216	0.159505	0.063518	0.046163	0.098520
NW_008246512.1	2166865	2210464	0.101331	0.029842	0.023877	0.065552
NW_008246512.1	2193254	2236858	0.096175	0.030870	0.024202	0.070348
NW_008246512.1	2210510	2249030	0.175050	0.061066	0.050958	0.115380
NW_008246512.1	2237104	2269546	0.343181	0.077289	0.069367	0.210834
NW_008246512.1	2249190	2283646	0.255971	0.048276	0.041333	0.126629
NW_008246512.1	2269618	2290911	0.154416	0.048787	0.040306	0.064264
NW_008246512.1	2283703	2301113	0.690852	0.421412	0.364460	0.477645
NW_008246512.1	2290946	2311145	0.923657	0.645994	0.573201	0.713924
NW_008246512.1	2301119	2317915	0.383595	0.299686	0.226490	0.273126
NW_008246512.1	2311159	2327425	-0.300667	-0.378907	-0.221322	-0.230860
NW_008246512.1	2317934	2343754	-0.239024	-0.301051	-0.184197	-0.154954
NW_008246512.1	2327463	2357774	0.289693	0.211596	0.146281	0.269134
NW_008246512.1	2343922	2382560	0.284475	0.134835	0.098060	0.213751
NW_008246512.1	2358068	2395726	-0.150470	-0.042130	-0.033419	-0.057812
NW_008246512.1	2382598	2424897	0.043197	0.008154	0.007044	0.029982
NW_008246512.1	2396027	2449480	0.193802	0.041854	0.036447	0.074456
NW_008246512.1	2424986	2461781	-0.003503	-0.000481	-0.000444	0.013290
NW_008246512.1	2449481	2491912	0.135063	0.009092	0.008762	0.058238
NW_008246512.1	2467175	2504651	0.348885	0.040188	0.038010	0.181891
NW_008246512.1	2492084	2515624	0.492028	0.208454	0.175631	0.231006
NW_008246512.1	2504679	2528667	0.591677	0.167537	0.141716	0.155119
NW_008246512.1	2515640	2539554	0.490720	0.124692	0.103160	0.113984
NW_008246512.1	2528697	2549894	0.470771	0.159186	0.135113	0.169778
NW_008246512.1	2539689	2558501	0.457333	0.131825	0.116162	0.158020
NW_008246512.1	2549925	2573867	0.264760	0.107756	0.088889	0.141858
NW_008246512.1	2558506	2592946	0.391254	0.189865	0.156924	0.263882
NW_008246512.1	2574010	2603732	0.525742	0.295273	0.250551	0.299185
NW_008246512.1	2592957	2624308	0.451396	0.247529	0.202988	0.234944
NW_008246512.1	2603941	2632353	0.397734	0.173657	0.144016	0.178299
NW_008246512.1	2624322	2654615	0.317314	0.121208	0.098955	0.131694
NW_008246512.1	2632545	2677446	0.384495	0.097000	0.083350	0.115850
NW_008246512.1	2655667	2685774	0.317675	0.055873	0.049204	0.054554
NW_008246512.1	2677574	2704343	-0.011656	-0.002048	-0.001569	-0.001265
NW_008246512.1	2685901	2720661	-0.123324	-0.023862	-0.017586	-0.014626
NW_008246512.1	2704823	2733283	-0.015876	-0.005553	-0.004113	-0.003750
NW_008246512.1	2720791	2742197	0.052038	0.010730	0.009227	0.009162
NW_008246512.1	2733472	2747696	-0.137249	-0.032160	-0.027856	-0.024673
NW_008246512.1	2742915	2766640	-0.057189	-0.022946	-0.018015	-0.015997
NW_008246512.1	2747707	2785506	0.425731	0.098122	0.083406	0.131500
NW_008246512.1	2767738	2800155	0.552017	0.104336	0.093776	0.253795
NW_008246512.1	2785637	2822378	0.233140	0.059530	0.052946	0.105014
NW_008246512.1	2801275	2842026	0.098832	0.047689	0.039814	0.061478
NW_008246512.1	2822566	2856371	0.090824	0.049201	0.040577	0.061132
NW_008246512.1	2842105	2863229	0.089656	0.032965	0.028684	0.043157
