chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NW_008246512.1	1081267	1094002	0.897633	0.367554	0.292707	0.317753
NW_008246512.1	1088354	1100112	0.779475	0.345630	0.283004	0.294064
NW_008246512.1	1094012	1110483	0.647732	0.341945	0.267917	0.287361
NW_008246512.1	1100150	1123323	0.597447	0.373414	0.265327	0.302224
NW_008246512.1	1110528	1128309	0.636978	0.413613	0.230267	0.268657
NW_008246512.1	1123337	1138824	0.762086	0.457186	0.227454	0.246761
NW_008246512.1	1128353	1148405	0.830780	0.484244	0.209592	0.212764
NW_008246512.1	1139008	1158610	0.748849	0.411050	0.230689	0.282322
NW_008246512.1	1148654	1171724	0.748189	0.377375	0.277254	0.383246
NW_008246512.1	1158626	1180472	0.612406	0.354283	0.238897	0.291361
NW_008246512.1	1171778	1202022	0.673272	0.431283	0.266478	0.375899
NW_008246512.1	1180489	1205378	0.792324	0.581596	0.396616	0.526125
NW_008246512.1	1202046	1217240	0.816952	0.584176	0.387577	0.534008
NW_008246512.1	1205452	1225626	0.848224	0.512346	0.272806	0.378570
NW_008246512.1	1217667	1241743	0.792257	0.365158	0.207496	0.221634
NW_008246512.1	1225630	1251921	0.691798	0.178474	0.113464	0.135911
NW_008246512.1	1241765	1257753	0.605299	0.143188	0.094122	0.111978
NW_008246512.1	1251936	1267354	0.594143	0.168467	0.115284	0.133989
NW_008246512.1	1257778	1280020	0.705622	0.175274	0.115905	0.132474
NW_008246512.1	1267633	1288509	0.719959	0.189062	0.134036	0.216030
NW_008246512.1	1280074	1294896	0.657412	0.185758	0.139848	0.289710
NW_008246512.1	1288528	1307061	0.742143	0.181754	0.132476	0.247597
NW_008246512.1	1294917	1321638	0.889458	0.214537	0.135780	0.456015
NW_008246512.1	1307427	1330825	0.901561	0.218006	0.139620	0.656616
NW_008246512.1	1321856	1342342	0.871907	0.206591	0.143901	0.721587
NW_008246512.1	1330916	1352214	0.693506	0.196954	0.126015	0.325425
NW_008246512.1	1342399	1365508	0.714060	0.188379	0.136712	0.262775
NW_008246512.1	1352344	1371509	0.810147	0.221978	0.153115	0.404032
NW_008246512.1	1365588	1377029	0.705897	0.239908	0.145546	0.401024
NW_008246512.1	1371552	1389381	0.665108	0.216380	0.132441	0.277218
NW_008246512.1	1377031	1404216	0.637775	0.180423	0.094898	0.136682
NW_008246512.1	1389822	1410897	0.551210	0.127609	0.091240	0.140249
NW_008246512.1	1404272	1417192	0.479705	0.105708	0.085290	0.202880
NW_008246512.1	1410921	1424283	0.626714	0.218568	0.172318	0.348146
NW_008246512.1	1417218	1434725	0.742108	0.347976	0.252169	0.299387
NW_008246512.1	1424290	1445255	0.857140	0.351925	0.240536	0.296201
NW_008246512.1	1434895	1455042	0.842137	0.385013	0.217800	0.397086
NW_008246512.1	1445256	1466504	0.795310	0.452929	0.169466	0.172571
NW_008246512.1	1455113	1480054	0.673917	0.531150	0.125742	0.097215
NW_008246512.1	1466709	1487480	0.391566	0.139917	0.056819	0.102196
NW_008246512.1	1480118	1500255	0.188743	0.028821	0.017814	0.064762
NW_008246512.1	1487493	1508520	0.655465	0.156257	0.106807	0.355206
NW_008246512.1	1500423	1520361	0.839997	0.328251	0.218876	0.353944
NW_008246512.1	1508527	1539360	0.914554	0.462489	0.257869	0.231669
NW_008246512.1	1520641	1548484	0.799974	0.445811	0.251624	0.239982
NW_008246512.1	1539371	1559552	0.607285	0.359504	0.227670	0.327828
NW_008246512.1	1548553	1566467	0.433187	0.215183	0.125902	0.255657
NW_008246512.1	1559619	1570166	0.213910	0.066765	0.040342	0.049751
NW_008246512.1	1566585	1575206	0.024954	0.005129	0.003829	-0.005542
NW_008246512.1	1570221	1582811	0.311654	0.063313	0.052381	0.069448
NW_008246512.1	1575288	1590594	0.478121	0.104092	0.067013	0.075797
NW_008246512.1	1583024	1594773	0.356129	0.080281	0.034992	0.025812
NW_008246512.1	1590604	1603768	0.589889	0.289499	0.160751	0.158187
NW_008246512.1	1594791	1618726	0.743303	0.364351	0.234945	0.289246
NW_008246512.1	1603800	1624847	0.760775	0.323690	0.229842	0.241568
NW_008246512.1	1618837	1633369	0.835683	0.343958	0.270932	0.315652
NW_008246512.1	1624870	1639673	0.936674	0.344379	0.272147	0.379084
NW_008246512.1	1633441	1645581	0.859084	0.319341	0.250302	0.303256
NW_008246512.1	1639694	1647508	0.707038	0.307092	0.196195	0.138689
NW_008246512.1	1645596	1650424	0.483887	0.168988	0.108743	0.084891
NW_008246512.1	1647629	1653288	0.068299	0.023525	0.016170	-0.008131
NW_008246512.1	1650439	1662738	0.516093	0.292069	0.199176	0.170574
NW_008246512.1	1653313	1670564	0.841317	0.474157	0.372304	0.493163
NW_008246512.1	1662800	1674678	0.845973	0.475507	0.352311	0.438634
NW_008246512.1	1670587	1679428	0.603737	0.374916	0.234056	0.262552
NW_008246512.1	1674685	1683389	0.323895	0.238674	0.131727	0.137982
NW_008246512.1	1679443	1687970	0.202157	0.171591	0.080296	0.078401
NW_008246512.1	1683403	1692852	0.095459	0.098930	0.035832	0.032265
NW_008246512.1	1687978	1696911	0.093227	0.097158	0.037280	0.031003
NW_008246512.1	1692858	1700960	0.104676	0.103833	0.041105	0.035005
NW_008246512.1	1696916	1705906	0.107407	0.168584	0.033788	0.023308
NW_008246512.1	1700975	1709061	0.316149	0.233204	0.103843	0.088013
NW_008246512.1	1705941	1711308	0.416601	0.215282	0.163154	0.228002
NW_008246512.1	1709072	1713414	0.244971	0.139067	0.090435	0.126174
NW_008246512.1	1711358	1718689	0.444389	0.230982	0.152855	0.183281
NW_008246512.1	1713418	1725666	0.520907	0.243071	0.163701	0.196914
NW_008246512.1	1718717	1735328	0.389735	0.180305	0.125630	0.169897
NW_008246512.1	1725670	1743903	0.423768	0.177335	0.108040	0.145176
NW_008246512.1	1735355	1747530	0.338288	0.136301	0.072509	0.089971
NW_008246512.1	1743919	1750608	0.060981	0.051662	0.029400	0.032577
NW_008246512.1	1747543	1756325	0.268260	0.199912	0.130269	0.136771
NW_008246512.1	1750644	1761627	0.543307	0.333745	0.190824	0.179414
NW_008246512.1	1756362	1769289	0.678829	0.312894	0.214656	0.273549
NW_008246512.1	1761640	1773432	0.786105	0.262209	0.229921	0.461357
NW_008246512.1	1769290	1777182	0.729336	0.212121	0.198718	0.433252
NW_008246512.1	1773445	1782472	0.647773	0.216297	0.188987	0.332287
NW_008246512.1	1777190	1786444	0.533363	0.243575	0.160358	0.130843
NW_008246512.1	1782503	1790472	0.426472	0.133697	0.063883	0.037421
NW_008246512.1	1786525	1794360	0.635960	0.141111	0.099023	0.120085
NW_008246512.1	1790477	1802077	0.622730	0.204410	0.141189	0.120280
NW_008246512.1	1794470	1809186	0.689811	0.257532	0.166725	0.132826
NW_008246512.1	1802152	1820179	0.682401	0.290835	0.189381	0.188809
NW_008246512.1	1809191	1822892	0.773551	0.277874	0.217878	0.307427
NW_008246512.1	1820206	1832060	0.789296	0.256774	0.216327	0.275755
NW_008246512.1	1822923	1838664	0.561627	0.240669	0.173849	0.085394
NW_008246512.1	1832223	1847488	0.588565	0.389881	0.250153	0.092731
NW_008246512.1	1838980	1851689	0.767085	0.421459	0.311987	0.229784
NW_008246512.1	1847498	1858068	0.726208	0.325809	0.241206	0.210053
NW_008246512.1	1851692	1866284	0.738272	0.263402	0.209994	0.231477
NW_008246512.1	1858400	1871926	0.820579	0.253088	0.220307	0.308709
NW_008246512.1	1866489	1884818	0.777586	0.238847	0.192441	0.198910
NW_008246512.1	1871933	1893334	0.568312	0.222107	0.142622	0.103457
NW_008246512.1	1884858	1903904	0.533094	0.191272	0.118162	0.107793
NW_008246512.1	1893409	1912911	0.631316	0.125116	0.082833	0.108545
NW_008246512.1	1903922	1921464	0.438262	0.109041	0.073934	0.111285
NW_008246512.1	1912970	1931063	0.417640	0.189626	0.098590	0.095233
NW_008246512.1	1921465	1934430	0.602404	0.308616	0.228399	0.266381
NW_008246512.1	1931065	1951433	0.579770	0.217490	0.167593	0.232220
NW_008246512.1	1934441	1958961	0.759663	0.156441	0.115350	0.139021
NW_008246512.1	1951466	1964934	0.775543	0.203215	0.168223	0.218174
NW_008246512.1	1959008	1972451	0.453934	0.146217	0.116824	0.142351
NW_008246512.1	1965108	1977269	0.138726	0.045326	0.034400	0.031916
NW_008246512.1	1972487	1983634	0.402566	0.159192	0.109041	0.087335
NW_008246512.1	1977369	1990500	0.571679	0.307548	0.183590	0.134732
NW_008246512.1	1983797	1994157	0.589131	0.312744	0.180954	0.120099
NW_008246512.1	1990532	2006939	0.462313	0.294390	0.199558	0.165406
NW_008246512.1	1994165	2015415	0.539299	0.296703	0.213197	0.227672
NW_008246512.1	2006951	2033069	0.748030	0.343733	0.189987	0.120618
NW_008246512.1	2015520	2037618	0.650251	0.418374	0.133449	0.049063
NW_008246512.1	2033083	2052257	0.792230	0.356621	0.163394	0.083505
NW_008246512.1	2037643	2065500	0.704639	0.306755	0.189831	0.172940
NW_008246512.1	2052345	2073844	0.454045	0.273977	0.158339	0.133115
NW_008246512.1	2065611	2082243	0.516098	0.261968	0.178219	0.202562
NW_008246512.1	2073878	2091285	0.643739	0.263046	0.205498	0.294801
NW_008246512.1	2082367	2101901	0.551203	0.228026	0.157389	0.165284
NW_008246512.1	2091306	2111277	0.567315	0.229347	0.129938	0.143979
NW_008246512.1	2103259	2117747	0.670072	0.277736	0.180538	0.237474
NW_008246512.1	2111327	2128165	0.560571	0.286653	0.206882	0.224937
NW_008246512.1	2117758	2146832	0.478325	0.304801	0.191422	0.148131
NW_008246512.1	2128265	2155609	0.557268	0.346808	0.204960	0.148473
NW_008246512.1	2146857	2165181	0.705678	0.397359	0.273755	0.258228
NW_008246512.1	2155611	2172581	0.753295	0.371296	0.258965	0.309624
NW_008246512.1	2165247	2195433	0.536364	0.219406	0.146621	0.199660
NW_008246512.1	2172743	2210254	0.340912	0.110440	0.074240	0.118791
NW_008246512.1	2195440	2230566	0.393940	0.142051	0.092532	0.174677
NW_008246512.1	2210267	2247383	0.458218	0.224652	0.140500	0.218906
NW_008246512.1	2230762	2258866	0.495450	0.233636	0.132994	0.160198
NW_008246512.1	2247449	2271881	0.465590	0.160238	0.091775	0.090549
NW_008246512.1	2258984	2281020	0.357446	0.094184	0.063968	0.083571
NW_008246512.1	2271882	2288701	0.303545	0.103586	0.072197	0.131876
NW_008246512.1	2281222	2296898	0.462257	0.234460	0.128631	0.142268
NW_008246512.1	2288756	2302825	0.501509	0.564441	0.106498	0.065935
NW_008246512.1	2296939	2308865	0.539182	2.033881	0.095654	0.051976
NW_008246512.1	2302826	2315891	0.767768	0.524134	0.257549	0.221657
NW_008246512.1	2308866	2324087	0.697200	0.497063	0.410625	0.514352
NW_008246512.1	2315924	2338323	0.659062	0.527462	0.442292	0.524156
NW_008246512.1	2324116	2352374	0.713377	0.531788	0.348981	0.284529
NW_008246512.1	2338350	2357886	0.826511	0.548978	0.327303	0.253077
NW_008246512.1	2352420	2380409	0.857559	0.384009	0.277032	0.439917
NW_008246512.1	2357919	2390187	0.821310	0.145005	0.121011	0.579498
NW_008246512.1	2380471	2409518	0.646079	0.070138	0.060129	0.359735
NW_008246512.1	2391129	2425674	0.481338	0.067227	0.052880	0.153733
NW_008246512.1	2409557	2448964	0.273419	0.044260	0.036496	0.118086
NW_008246512.1	2425927	2455348	0.330450	0.042793	0.037531	0.197472
NW_008246512.1	2448974	2469569	0.481397	0.044188	0.039870	0.197764
NW_008246512.1	2455352	2487615	0.559267	0.086383	0.072453	0.223437
NW_008246512.1	2469998	2494236	0.624699	0.227621	0.145813	0.166571
NW_008246512.1	2487666	2503129	0.697508	0.336076	0.201847	0.193901
NW_008246512.1	2494291	2509178	0.514168	0.182552	0.126742	0.163993
NW_008246512.1	2503146	2515850	0.332520	0.134414	0.076681	0.068580
NW_008246512.1	2509244	2524499	0.697642	0.374373	0.213499	0.180567
NW_008246512.1	2515928	2530262	0.827754	0.446766	0.289564	0.273602
NW_008246512.1	2524505	2539269	0.747018	0.412454	0.255243	0.229303
NW_008246512.1	2530338	2547101	0.666250	0.335990	0.195047	0.166147
NW_008246512.1	2539270	2551183	0.317813	0.127557	0.073589	0.076194
NW_008246512.1	2547138	2558506	0.043928	0.019933	0.011754	0.007988
NW_008246512.1	2551195	2566663	0.447958	0.247665	0.173926	0.161486
NW_008246512.1	2558523	2576947	0.611882	0.330355	0.243523	0.289612
NW_008246512.1	2566674	2591568	0.623998	0.368084	0.218478	0.221214
NW_008246512.1	2577161	2598837	0.533909	0.439757	0.198737	0.142727
NW_008246512.1	2591603	2608992	0.662087	0.458207	0.271951	0.205735
NW_008246512.1	2598867	2624299	0.728054	0.455562	0.286400	0.295789
NW_008246512.1	2609205	2630632	0.612718	0.309152	0.209920	0.159788
NW_008246512.1	2624308	2645178	0.267985	0.125584	0.085746	0.051261
NW_008246512.1	2630770	2662006	-0.004417	-0.001758	-0.001040	-0.002278
NW_008246512.1	2645191	2676473	0.056698	0.014190	0.008910	0.006304
NW_008246512.1	2662278	2684318	0.333417	0.048037	0.031741	0.016578
NW_008246512.1	2676541	2698988	0.379356	0.038754	0.026924	0.012904
NW_008246512.1	2684321	2707727	0.248240	0.025725	0.018709	0.008983
NW_008246512.1	2699019	2718116	0.359115	0.039530	0.030517	0.018499
NW_008246512.1	2707736	2729283	0.632111	0.112646	0.076788	0.057239
NW_008246512.1	2719059	2733591	0.777152	0.188807	0.137460	0.138563
NW_008246512.1	2729435	2738107	0.853019	0.179658	0.156945	0.214204
NW_008246512.1	2733604	2743807	0.784573	0.185199	0.143089	0.142915
NW_008246512.1	2738199	2749714	0.592708	0.266634	0.167474	0.141823
NW_008246512.1	2743817	2767592	0.524504	0.260707	0.153833	0.136539
NW_008246512.1	2749778	2780042	0.615968	0.179454	0.112959	0.093778
NW_008246512.1	2767738	2788163	0.421997	0.154218	0.112705	0.108929
NW_008246512.1	2780088	2804593	0.317503	0.145791	0.107718	0.106523
NW_008246512.1	2788251	2815767	0.512555	0.208988	0.149223	0.122232
NW_008246512.1	2804966	2835352	0.583877	0.220292	0.157339	0.113477
NW_008246512.1	2815784	2849652	0.482799	0.165315	0.127845	0.122480
NW_008246512.1	2835377	2857470	0.378158	0.153924	0.119686	0.127246
NW_008246512.1	2849697	2862528	0.554936	0.190157	0.145742	0.148273
